rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.924299,Оборот 23986010 (+0.250); связей 104 (+0.195); seed 4 (+0.130); внешних групп 13 (+0.150); 1–2д 100% (+0.100); цикл +0.10
29,100000003880331100,distributor,0.702254,Оборот 4004908 (+0.224); связей 17 (+0.121); seed 1 (+0.056); внешних групп 5 (+0.102); 1–2д 100% (+0.100); цикл +0.10
30,100000008710791100,distributor,0.695871,Оборот 5703021 (+0.229); связей 26 (+0.138); seed 5 (+0.144); внешних групп 4 (+0.091); 1–2д 93% (+0.093); цикл +0.00
31,100000008748914100,distributor,0.689165,Оборот 4651847 (+0.226); связей 15 (+0.116); seed 1 (+0.056); внешних групп 4 (+0.091); 1–2д 100% (+0.100); цикл +0.10
32,100000008466579100,distributor,0.687,Оборот 1969952 (+0.213); связей 19 (+0.125); seed 2 (+0.088); внешних групп 3 (+0.079); 1–2д 81% (+0.081); цикл +0.10
33,100000008465789100,distributor,0.684537,Оборот 1888199 (+0.213); связей 17 (+0.121); seed 3 (+0.112); внешних групп 1 (+0.039); 1–2д 100% (+0.100); цикл +0.10
34,100000004150593100,distributor,0.683517,Оборот 928165 (+0.202); связей 12 (+0.107); seed 3 (+0.112); внешних групп 2 (+0.062); 1–2д 100% (+0.100); цикл +0.10
35,100000005782781100,coordinator,0.680098,Оборот 1435485 (+0.209); связей 16 (+0.119); seed 3 (+0.112); внешних групп 5 (+0.102); 1–2д 40% (+0.040); цикл +0.10
36,100000004015047100,consolidator,0.674687,Оборот 988299 (+0.203); связей 10 (+0.100); seed 8 (+0.177); внешних групп 4 (+0.091); 1–2д 3% (+0.003); цикл +0.10
37,100000002578405100,distributor,0.672006,Оборот 4308703 (+0.225); связей 118 (+0.200); seed 1 (+0.056); внешних групп 0 (+0.000); 1–2д 91% (+0.091); цикл +0.10
38,100000005048668100,distributor,0.67043,Оборот 176068 (+0.178); связей 10 (+0.100); seed 4 (+0.130); внешних групп 5 (+0.102); 1–2д 61% (+0.061); цикл +0.10
39,100000008165763100,coordinator,0.669934,Оборот 2433673 (+0.216); связей 32 (+0.146); seed 6 (+0.157); внешних групп 7 (+0.118); 1–2д 32% (+0.032); цикл +0.00
40,100000004847758100,distributor,0.66303,Оборот 603971 (+0.196); связей 19 (+0.125); seed 2 (+0.088); внешних групп 5 (+0.102); 1–2д 52% (+0.052); цикл +0.10
41,100000008512827100,distributor,0.661061,Оборот 2052449 (+0.214); связей 13 (+0.110); seed 5 (+0.144); внешних групп 5 (+0.102); 1–2д 91% (+0.091); цикл +0.00
42,100000007593823100,distributor,0.658238,Оборот 187900 (+0.179); связей 16 (+0.119); seed 4 (+0.130); внешних групп 4 (+0.091); 1–2д 40% (+0.040); цикл +0.10
43,100000008512552100,peripheral,0.650201,Оборот 1696635 (+0.211); связей 10 (+0.100); seed 2 (+0.088); внешних групп 2 (+0.062); 1–2д 88% (+0.088); цикл +0.10
44,100000004140487100,distributor,0.646514,Оборот 287110 (+0.185); связей 11 (+0.104); seed 1 (+0.056); внешних групп 5 (+0.102); 1–2д 100% (+0.100); цикл +0.10
45,100000008743913100,distributor,0.646422,Оборот 1999900 (+0.213); связей 16 (+0.119); seed 6 (+0.157); внешних групп 4 (+0.091); 1–2д 66% (+0.066); цикл +0.00
46,100000007639767100,distributor,0.639174,Оборот 913157 (+0.202); связей 14 (+0.113); seed 2 (+0.088); внешних групп 4 (+0.091); 1–2д 44% (+0.044); цикл +0.10
47,100000000343175100,coordinator,0.639079,Оборот 4178751 (+0.224); связей 39 (+0.154); seed 4 (+0.130); внешних групп 9 (+0.131); 1–2д 73% (+0.000); цикл +0.00
48,100000008636603100,distributor,0.639057,Оборот 194835 (+0.179); связей 8 (+0.092); seed 2 (+0.088); внешних групп 4 (+0.091); 1–2д 88% (+0.088); цикл +0.10
49,100000008686313100,coordinator,0.639014,Оборот 2246516 (+0.215); связей 13 (+0.110); seed 3 (+0.112); внешних групп 4 (+0.091); 1–2д 10% (+0.010); цикл +0.10
50,100000003213473100,distributor,0.638236,Оборот 297500 (+0.185); связей 12 (+0.107); seed 2 (+0.088); внешних групп 3 (+0.079); 1–2д 78% (+0.078); цикл +0.10
